kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_depth
Kepler-1054 b,CONFIRMED,CANDIDATE,4.30656389,4.1107,257.0
Kepler-1055 b,CONFIRMED,CANDIDATE,2.29503515,1.654,172.1
Kepler-1056 b,CONFIRMED,CANDIDATE,27.495634,4.858,483.3
Kepler-1057 b,CONFIRMED,CANDIDATE,14.08826442,4.1847,889.4
Kepler-1058 b,CONFIRMED,CANDIDATE,110.9643706,12.831,1283.2
Kepler-1059 b,CONFIRMED,CANDIDATE,3.76417012,2.0111,558.4
Kepler-106 b,CONFIRMED,CANDIDATE,6.164876,3.262,55.8
Kepler-106 c,CONFIRMED,CANDIDATE,13.57078281,3.3539,511.7
Kepler-106 d,CONFIRMED,CANDIDATE,23.9800854,5.351,104.0
Kepler-106 e,CONFIRMED,CANDIDATE,43.84439721,6.802,615.2
Kepler-1060 b,CONFIRMED,CANDIDATE,46.8776724,10.041,539.8
Kepler-1061 b,CONFIRMED,CANDIDATE,2.757977384,2.1489,211.0
Kepler-1062 b,CONFIRMED,CANDIDATE,9.30413878,1.9254,637.3
Kepler-1063 b,CONFIRMED,CANDIDATE,14.07969236,1.375,169.5
Kepler-1064 b,CONFIRMED,CANDIDATE,16.54081386,2.5996,370.0
Kepler-1065 b,CONFIRMED,CANDIDATE,3.609313059,1.7752,1375.1
Kepler-1065 c,CONFIRMED,CANDIDATE,2.3702932,1.666,224.8
Kepler-1066 b,CONFIRMED,CANDIDATE,1.93155546,1.614,504.9
Kepler-1067 b,CONFIRMED,CANDIDATE,0.762132307,1.22,63.7
Kepler-1067 c,CONFIRMED,CANDIDATE,5.42586901,2.5342,259.0
Kepler-1068 b,CONFIRMED,CANDIDATE,16.92342126,4.1864,1125.3
Kepler-1069 b,CONFIRMED,CANDIDATE,23.8990075,15.955,293.4
Kepler-107 b,CONFIRMED,CANDIDATE,3.180027898,3.5797,120.3
Kepler-107 c,CONFIRMED,CANDIDATE,4.90144976,4.1654,140.7
Kepler-107 d,CONFIRMED,CANDIDATE,7.95825328,4.377,50.0
Kepler-107 e,CONFIRMED,CANDIDATE,14.74914825,6.0995,430.2
Kepler-1070 b,CONFIRMED,CANDIDATE,6.22161107,3.4117,165.0
Kepler-1071 b,CONFIRMED,CANDIDATE,6.17998508,2.1094,750.5
Kepler-1072 b,CONFIRMED,CANDIDATE,1.569066598,2.7803,147.2
Kepler-1073 b,CONFIRMED,CANDIDATE,8.67890312,3.5317,540.6
Kepler-1073 c,CONFIRMED,CANDIDATE,4.02582434,2.8059,265.3
Kepler-1073 d,CONFIRMED,CANDIDATE,2.50475282,2.376,181.1
Kepler-1074 b,CONFIRMED,CANDIDATE,5.94565516,2.1604,401.2
Kepler-1075 b,CONFIRMED,CANDIDATE,1.52373073,1.4796,364.7
Kepler-1076 b,CONFIRMED,CANDIDATE,6.14728341,2.7645,119.7
Kepler-1077 b,CONFIRMED,CANDIDATE,34.3511339,4.4408,599.4
